"","psi","p","surveyLength","intervalLength","nSurveys","radius","placement","instOcc","dailyOcc","seasonOcc","density","iteration"
"989",1.40007884847551,0.295814610073169,29,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"990",1.42983880653854,0.349866561193364,30,"10Days",3,100,"systematic",0.290734061066287,0.806190476190476,1,0.1,2
"991",-1.04627740485029,-2.03692302516284,1,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"992",6.39214950155246,-3.26685983406469,2,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"993",-0.84274018400413,-1.46117621294324,3,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"994",0.590549798331311,-2.15786126856001,4,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"995",0.491977348756286,-1.7314776133203,5,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"996",-0.0422308075930866,-1.44551597045541,6,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"997",-0.145156530342493,-1.29136634699577,7,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"998",0.597320355605737,-1.61884240449963,8,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"999",0.123278674387264,-1.3802935114216,9,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"1000",0.166121718597243,-1.29222344469834,10,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"1001",-0.0150883925072815,-1.14271907913484,11,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"1002",0.298793638725505,-1.33093033851757,12,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"1003",0.224840694979336,-1.22061545929804,13,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"1004",0.0303164705164677,-0.932656727404619,14,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"1005",0.257960323324691,-1.07698822817291,15,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"1006",2.33037899604647,-1.62446436473798,16,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"1007",-0.131569838285882,-0.684025635403454,17,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"1008",0.126023741548925,-0.902557085880037,18,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"1009",0.752683503947754,-1.20564637493317,19,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
"1010",-0.0452221698090315,-0.719960575333444,20,"10Days",3,50,"systematic",0.0837802562885619,0.601904761904762,0.99,0.1,2
